org_id,head,contact_head,zone_id,sub_zone_id,contact_details,eth_address
1,183,194,6,11,NULL,77226
2,2,164,1,1,NULL,94943
3,97,182,6,11,NULL,28158
4,137,192,17,33,NULL,29617
5,89,117,1,2,NULL,99849
6,194,72,12,23,NULL,98440
7,43,22,2,3,NULL,58825
8,110,122,20,40,NULL,87279
9,47,107,7,14,NULL,97910
10,53,189,12,23,NULL,89067
11,17,30,1,2,NULL,43418
12,36,185,9,17,NULL,53268
13,144,105,2,3,NULL,63309
14,33,179,1,2,NULL,70091
15,84,136,14,28,NULL,22409
16,13,82,2,4,NULL,12118
17,16,70,14,27,NULL,79295
18,189,4,15,29,NULL,14212
19,4,51,11,21,NULL,30709
20,197,28,12,24,NULL,20080
21,91,151,2,4,NULL,52043
22,188,178,16,32,NULL,93273
23,44,88,15,30,NULL,40973
24,61,20,17,33,NULL,31044
25,102,81,7,13,NULL,68372
26,121,179,18,36,NULL,80507
27,118,66,15,30,NULL,79775
28,84,112,18,35,NULL,69015
29,176,114,7,13,NULL,78532
30,10,114,17,34,NULL,60082
