sub_zone_id,sub_zone_name
1,Sub Zone 1
2,Sub Zone 2
3,Sub Zone 3
4,Sub Zone 4
5,Sub Zone 5
6,Sub Zone 6
7,Sub Zone 7
8,Sub Zone 8
9,Sub Zone 9
10,Sub Zone 10
11,Sub Zone 11
12,Sub Zone 12
13,Sub Zone 13
14,Sub Zone 14
15,Sub Zone 15
16,Sub Zone 16
17,Sub Zone 17
18,Sub Zone 18
19,Sub Zone 19
20,Sub Zone 20
21,Sub Zone 21
22,Sub Zone 22
23,Sub Zone 23
24,Sub Zone 24
25,Sub Zone 25
26,Sub Zone 26
27,Sub Zone 27
28,Sub Zone 28
29,Sub Zone 29
30,Sub Zone 30
31,Sub Zone 31
32,Sub Zone 32
33,Sub Zone 33
34,Sub Zone 34
35,Sub Zone 35
36,Sub Zone 36
37,Sub Zone 37
38,Sub Zone 38
39,Sub Zone 39
40,Sub Zone 40
