uid,role_id
188,8
180,11
127,4
148,3
108,10
87,6
166,5
137,5
38,9
105,6
69,6
2,6
194,8
23,3
82,11
20,1
51,9
96,1
105,9
91,5
158,9
46,2
196,5
75,9
7,9
119,11
180,6
184,7
84,5
66,11
191,5
42,8
82,6
197,5
65,4
75,5
106,9
91,5
110,6
147,10
117,7
185,11
75,10
182,4
174,5
145,9
141,8
10,11
11,10
145,7
52,10
77,8
2,3
32,9
120,2
130,6
159,4
32,7
110,11
53,11
113,11
58,11
50,7
44,10
27,9
178,4
56,11
10,10
76,6
8,3
139,8
74,8
170,1
82,10
167,5
174,1
29,3
73,2
51,11
143,10
194,7
4,5
40,8
146,10
198,11
35,5
75,2
178,1
154,5
62,1
7,7
180,7
108,7
4,7
112,11
190,4
99,9
133,4
17,1
185,5
181,11
7,4
173,6
126,11
53,9
62,4
79,9
163,8
31,8
136,1
99,7
12,4
143,1
67,9
179,2
169,4
146,4
145,6
197,6
63,4
165,3
55,1
162,5
109,10
60,11
200,10
89,10
81,4
92,10
136,6
73,3
54,3
126,9
94,10
79,6
27,9
23,11
49,5
76,7
196,2
166,4
196,4
138,9
73,2
73,5
183,7
29,5
125,11
128,11
76,7
3,3
33,5
108,10
107,1
32,6
136,4
19,3
67,10
95,8
72,3
17,3
104,6
38,10
68,9
41,6
89,5
148,8
198,5
26,1
6,3
33,5
167,1
16,11
26,9
65,2
25,9
158,4
34,3
79,7
83,2
195,5
154,9
76,6
126,11
126,11
146,10
128,5
95,10
169,1
127,2
128,5
50,5
179,6
182,8
96,6
59,9
166,9
15,10
175,4
137,10
174,2
117,4
113,1
192,11
38,11
93,1
101,11
190,6
7,9
120,1
28,2
185,9
42,1
91,4
145,9
147,8
70,5
108,8
89,11
135,1
113,3
188,7
154,10
18,7
61,6
119,4
84,5
22,11
126,4
71,8
142,5
3,6
26,3
170,6
54,6
200,6
50,6
140,3
75,2
94,4
148,10
137,5
70,1
23,1
95,5
169,5
166,9
55,6
179,10
126,3
168,9
104,1
152,3
120,1
186,1
72,1
8,8
55,8
169,7
95,10
15,4
18,11
100,5
196,5
71,3
135,5
46,3
102,7
107,2
164,1
106,9
51,4
110,11
162,8
168,1
25,1
190,9
22,9
3,2
136,7
163,6
104,10
113,2
127,8
168,8
45,9
168,3
187,5
101,2
97,6
135,2
140,5
79,7
158,10
49,3
137,9
9,2
147,3
11,4
184,7
